Holt--Yang row 2: e=16, q=5, b=1, I=618242229312, R=152587890624, R-I=-465654338688  (the bound is not strict)
Holt--Yang row 4: e=9, q=7, b=1, I=2083973661, R=40353606, R-I=-2043620055  (the bound is not strict)
Holt--Yang row 5: e=9, q=13, b=1, I=81735264090, R=10604499372, R-I=-71130764718  (the bound is not strict)
Holt--Yang row 6: e=9, q=16, b=1, I=549612164115/2, R=68719476735, R-I=-412173210645/2  (the bound is not strict)
Holt--Yang row 7: e=9, q=19, b=1, I=783271909143, R=322687697778, R-I=-460584211365  (the bound is not strict)
Holt--Yang row 8: e=9, q=25, b=1, I=5122254622068, R=3814697265624, R-I=-1307557356444  (the bound is not strict)
Holt--Yang row 11: e=8, q=7, b=1, I=140132160, R=5764800, R-I=-134367360  (the bound is not strict)
Holt--Yang row 12: e=8, q=9, b=1, I=2533411520, R=43046720, R-I=-2490364800  (the bound is not strict)
Holt--Yang row 13: e=8, q=11, b=1, I=1013028000, R=214358880, R-I=-798669120  (the bound is not strict)
Holt--Yang row 14: e=8, q=13, b=1, I=2901074400, R=815730720, R-I=-2085343680  (the bound is not strict)
Holt--Yang row 15: e=8, q=17, b=1, I=10798174080, R=6975757440, R-I=-3822416640  (the bound is not strict)
Holt--Yang row 16: e=8, q=19, b=1, I=22245101280, R=16983563040, R-I=-5261538240  (the bound is not strict)
Holt--Yang row 17: e=8, q=25, b=1, I=298202029632, R=152587890624, R-I=-145614139008  (the bound is not strict)
Holt--Yang row 18: e=8, q=27, b=1, I=159961836320, R=282429536480, R-I=122467700160  (I<R)
Holt--Yang row 26: e=4, q=19, b=1, I=740160, R=130320, R-I=-609840  (the bound is not strict)
Holt--Yang row 27: e=4, q=23, b=1, I=1144176, R=279840, R-I=-864336  (the bound is not strict)
Holt--Yang row 29: e=4, q=27, b=1, I=2949856, R=531440, R-I=-2418416  (the bound is not strict)
Holt--Yang row 30: e=4, q=29, b=1, I=2121840, R=707280, R-I=-1414560  (the bound is not strict)
Holt--Yang row 31: e=4, q=31, b=1, I=2724240, R=923520, R-I=-1800720  (the bound is not strict)
Holt--Yang row 32: e=4, q=37, b=1, I=4286160, R=1874160, R-I=-2412000  (the bound is not strict)
Holt--Yang row 33: e=4, q=41, b=1, I=5558880, R=2825760, R-I=-2733120  (the bound is not strict)
Holt--Yang row 34: e=4, q=43, b=1, I=6454560, R=3418800, R-I=-3035760  (the bound is not strict)
Holt--Yang row 35: e=4, q=47, b=1, I=7958736, R=4879680, R-I=-3079056  (the bound is not strict)
Holt--Yang row 36: e=4, q=49, b=1, I=31364160, R=5764800, R-I=-25599360  (the bound is not strict)
Holt--Yang row 37: e=4, q=53, b=1, I=11131536, R=7890480, R-I=-3241056  (the bound is not strict)
Holt--Yang row 38: e=4, q=59, b=1, I=15047520, R=12117360, R-I=-2930160  (the bound is not strict)
Holt--Yang row 39: e=4, q=61, b=1, I=17245680, R=13845840, R-I=-3399840  (the bound is not strict)
Holt--Yang row 40: e=4, q=67, b=1, I=22133760, R=20151120, R-I=-1982640  (the bound is not strict)
Holt--Yang row 41: e=4, q=71, b=1, I=25742640, R=25411680, R-I=-330960  (the bound is not strict)
Holt--Yang row 42: e=4, q=73, b=1, I=28193760, R=28398240, R-I=204480  (I<R)
Holt--Yang row 43: e=4, q=81, b=1, I=113012160, R=43046720, R-I=-69965440  (the bound is not strict)
Holt--Yang row 44: e=4, q=121, b=1, I=322943520, R=214358880, R-I=-108584640  (the bound is not strict)
Holt--Yang row 45: e=4, q=125, b=1, I=151697136, R=244140624, R-I=92443488  (I<R)
Holt--Yang row 46: e=4, q=169, b=1, I=776223840, R=815730720, R-I=39506880  (I<R)
Holt--Yang row 47: e=4, q=243, b=1, I=918275776, R=3486784400, R-I=2568508624  (I<R)
Holt--Yang row 54: e=3, q=49, b=1, I=664176, R=117648, R-I=-546528  (the bound is not strict)
Holt--Yang row 56: e=3, q=121, b=1, I=3889560, R=1771560, R-I=-2118000  (the bound is not strict)
Holt--Yang row 57: e=3, q=169, b=1, I=7501704, R=4826808, R-I=-2674896  (the bound is not strict)
Holt--Yang row 58: e=3, q=256, b=1, I=16419450, R=16777215, R-I=357765  (I<R)
Holt--Yang row 59: e=3, q=289, b=1, I=21631392, R=24137568, R-I=2506176  (I<R)
Holt--Yang row 60: e=3, q=343, b=1, I=7773318, R=40353606, R-I=32580288  (I<R)
Holt--Yang row 61: e=3, q=361, b=1, I=33571080, R=47045880, R-I=13474800  (I<R)
Holt--Yang row 70: e=2, q=23, b=1, I=484, R=528, R-I=44  (I<R)
Holt--Yang row 73: e=2, q=29, b=1, I=616, R=840, R-I=224  (I<R)
Holt--Yang row 79: e=2, q=243, b=1, I=28556, R=59048, R-I=30492  (I<R)
Holt--Yang row 81: e=2, q=343, b=1, I=75924, R=117648, R-I=41724  (I<R)
Holt--Yang row 82: e=2, q=361, b=1, I=183600, R=130320, R-I=-53280  (the bound is not strict)
Holt--Yang row 83: e=2, q=529, b=1, I=319968, R=279840, R-I=-40128  (the bound is not strict)
Holt--Yang row 85: e=2, q=729, b=1, I=679952, R=531440, R-I=-148512  (the bound is not strict)
Holt--Yang row 86: e=2, q=841, b=1, I=630000, R=707280, R-I=77280  (I<R)
Holt--Yang row 87: e=2, q=961, b=1, I=766080, R=923520, R-I=157440  (I<R)
Holt--Yang row 88: e=2, q=1331, b=1, I=412300, R=1771560, R-I=1359260  (I<R)
Holt--Yang row 89: e=2, q=1369, b=1, I=1288656, R=1874160, R-I=585504  (I<R)
Holt--Yang row 90: e=2, q=1681, b=1, I=1743840, R=2825760, R-I=1081920  (I<R)
Holt--Yang row 91: e=2, q=1849, b=1, I=2006928, R=3418800, R-I=1411872  (I<R)
Holt--Yang row 92: e=2, q=2187, b=1, I=257948, R=4782968, R-I=4525020  (I<R)
Holt--Yang row 93: e=2, q=2197, b=1, I=803736, R=4826808, R-I=4023072  (I<R)
Holt--Yang row 94: e=2, q=2209, b=1, I=2609856, R=4879680, R-I=2269824  (I<R)
Holt--Yang row 95: e=2, q=2401, b=1, I=2952000, R=5764800, R-I=2812800  (I<R)
Holt--Yang row 96: e=2, q=2809, b=1, I=3723408, R=7890480, R-I=4167072  (I<R)
Holt--Yang row 97: e=2, q=3125, b=1, I=518584, R=9765624, R-I=9247040  (I<R)
Holt--Yang row 98: e=2, q=3481, b=1, I=5115600, R=12117360, R-I=7001760  (I<R)
Holt--Yang row 99: e=2, q=3721, b=1, I=5646960, R=13845840, R-I=8198880  (I<R)
Holt--Yang row 100: e=2, q=4489, b=1, I=7459056, R=20151120, R-I=12692064  (I<R)
Holt--Yang row 101: e=2, q=4913, b=1, I=2230048, R=24137568, R-I=21907520  (I<R)
Holt--Yang row 102: e=2, q=5041, b=1, I=8860320, R=25411680, R-I=16551360  (I<R)
Holt--Yang row 103: e=2, q=5329, b=1, I=9622368, R=28398240, R-I=18775872  (I<R)
Holt--Yang row 114: e=3, q=7, b=2, I=73200, R=117648, R-I=44448  (I<R)
Holt--Yang row 119: e=4, q=7, b=2, I=9245760, R=5764800, R-I=-3480960  (the bound is not strict)
Holt--Yang row 120: e=4, q=11, b=2, I=118686240, R=214358880, R-I=95672640  (I<R)
Holt--Yang row 121: e=4, q=3, b=3, I=1751776, R=531440, R-I=-1220336  (the bound is not strict)
Holt--Yang row 122: e=4, q=3, b=4, I=37021120, R=43046720, R-I=6025600  (I<R)
Holt--Yang row 123: e=4, q=9, b=2, I=67249600, R=43046720, R-I=-24202880  (the bound is not strict)
Holt--Yang row 124: e=8, q=3, b=2, I=356960960, R=43046720, R-I=-313914240  (the bound is not strict)
Holt--Yang row 125: e=8, q=5, b=2, I=97752542784, R=152587890624, R-I=54835347840  (I<R)
Holt--Yang row 126: e=8, q=3, b=3, I=152888372000, R=282429536480, R-I=129541164480  (I<R)
Holt--Yang row 127: e=9, q=4, b=2, I=451088346771/2, R=68719476735, R-I=-313649393301/2  (the bound is not strict)

The strict inequality I<R holds for these 36 Holt--Yang rows:
[ 18, 42, 45, 46, 47, 58, 59, 60, 61, 70, 73, 79, 81, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 114, 120, 122, 125, 126 ]
Every group having the parameters of one of these rows has a regular orbit.

The same bound is not strict for these 41 Holt--Yang rows:
[ 2, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 54, 56, 57, 82, 83, 85, 119, 121, 123, 124, 127 ]
No conclusion about regular orbits in these 41 rows follows from this inequality alone.
